Date : 2024-09-08 20:30:45
Directory : e:\codes\idea_workspace\demo
Total : 62 files,  1832 codes, 489 comments, 442 blanks, all 2763 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| src\main\java\cn\edu\seu\demo\service\UserService\impl                                                                |          3 |        192 |         78 |         42 |        312 |
| src\main\java\cn\edu\seu\demo\utils                                                                                   |          7 |        271 |        107 |         83 |        461 |
| src\main\resources                                                                                                    |          7 |         89 |         51 |          8 |        148 |
| src\main\resources (Files)                                                                                            |          1 |         16 |         19 |          4 |         39 |
| src\main\resources\cn                                                                                                 |          4 |         53 |         32 |          4 |         89 |
| src\main\resources\cn\edu                                                                                             |          4 |         53 |         32 |          4 |         89 |
| src\main\resources\cn\edu\seu                                                                                         |          4 |         53 |         32 |          4 |         89 |
| src\main\resources\cn\edu\seu\demo                                                                                    |          4 |         53 |         32 |          4 |         89 |
| src\main\resources\cn\edu\seu\demo\mapper                                                                             |          4 |         53 |         32 |          4 |         89 |
| src\main\resources\cn\edu\seu\demo\mapper (Files)                                                                     |          1 |          6 |          7 |          0 |         13 |
| src\main\resources\cn\edu\seu\demo\mapper\adminmapper                                                                 |          2 |         12 |          9 |          3 |         24 |
| src\main\resources\cn\edu\seu\demo\mapper\usermapper                                                                  |          1 |         35 |         16 |          1 |         52 |
| src\main\resources\config                                                                                             |          1 |         14 |          0 |          0 |         14 |
| src\main\resources\static                                                                                             |          1 |          6 |          0 |          0 |          6 |
| src\test                                                                                                              |          1 |         66 |         24 |         12 |        102 |
| src\test\java                                                                                                         |          1 |         66 |         24 |         12 |        102 |
| src\test\java\cn                                                                                                      |          1 |         66 |         24 |         12 |        102 |
| src\test\java\cn\edu                                                                                                  |          1 |         66 |         24 |         12 |        102 |
| src\test\java\cn\edu\seu                                                                                              |          1 |         66 |         24 |         12 |        102 |
| src\test\java\cn\edu\seu\demo                                                                                         |          1 |         66 |         24 |         12 |        102 |
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                              | language           | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| e:\codes\idea_workspace\demo\pom.xml                                                                                  | XML                |        175 |         22 |         14 |        211 |
| e:\codes\idea_workspace\demo\src\.VSCodeCounter\2024-09-05_08-47-38\details.md                                        | Markdown           |         44 |          0 |          6 |         50 |
| e:\codes\idea_workspace\demo\src\.VSCodeCounter\2024-09-05_08-47-38\diff-details.md                                   | Markdown           |          9 |          0 |          6 |         15 |
| e:\codes\idea_workspace\demo\src\.VSCodeCounter\2024-09-05_08-47-38\diff.md                                           | Markdown           |         12 |          0 |          7 |         19 |
| e:\codes\idea_workspace\demo\src\.VSCodeCounter\2024-09-05_08-47-38\results.json                                      | JSON               |          1 |          0 |          0 |          1 |
| e:\codes\idea_workspace\demo\src\.VSCodeCounter\2024-09-05_08-47-38\results.md                                        | Markdown           |         56 |          0 |          7 |         63 |
| e:\codes\idea_workspace\demo\src\main\java\cn\edu\seu\demo\DemoApplication.java                                       | Java               |         14 |          0 |          5 |         19 |
| e:\codes\idea_workspace\demo\src\main\java\cn\edu\seu\demo\config\WebConfig.java                                      | Java               |         25 |          4 |          3 |         32 |
| e:\codes\idea_workspace\demo\src\main\java\cn\edu\seu\demo\controller\AdminController\AdminController.java            | Java               |         41 |         10 |         12 |         63 |
| e:\codes\idea_workspace\demo\src\main\java\cn\edu\seu\demo\controller\AdminController\AdminDataController.java        | Java               |         47 |         22 |         11 |         80 |
| e:\codes\idea_workspace\demo\src\main\java\cn\edu\seu\demo\controller\AdminController\AdminLoginController.java       | Java               |         48 |          9 |         10 |         67 |
| e:\codes\idea_workspace\demo\src\main\java\cn\edu\seu\demo\controller\UserController\LoginController.java             | Java               |         83 |         13 |         16 |        112 |
| e:\codes\idea_workspace\demo\src\main\java\cn\edu\seu\demo\controller\UserController\UserNewsRecommendController.java | Java               |         54 |         41 |         11 |        106 |
| e:\codes\idea_workspace\demo\src\main\java\cn\edu\seu\demo\controller\UserController\UserNewsSummarizeController.java | Java               |         68 |         26 |         10 |        104 |
| e:\codes\idea_workspace\demo\src\main\java\cn\edu\seu\demo\exception\GlobalExceptionHandler.java                      | Java               |         12 |          3 |          4 |         19 |
| e:\codes\idea_workspace\demo\src\main\java\cn\edu\seu\demo\exception\UserRequestInProgressException.java              | Java               |          6 |          0 |          2 |          8 |
| e:\codes\idea_workspace\demo\src\main\java\cn\edu\seu\demo\intercepter\LoginCheckInterceptor.java                     | Java               |         41 |          8 |          5 |         54 |
| e:\codes\idea_workspace\demo\src\main\java\cn\edu\seu\demo\mapper\AdminMapper\AdminDataMapper.java                    | Java               |         28 |          0 |         11 |         39 |
| e:\codes\idea_workspace\demo\src\main\java\cn\edu\seu\demo\mapper\AdminMapper\AdminLoginMapper.java                   | Java               |          9 |          0 |          3 |         12 |
| e:\codes\idea_workspace\demo\src\main\java\cn\edu\seu\demo\mapper\AdminMapper\AdminMapper.java                        | Java               |         17 |          0 |          8 |         25 |
| e:\codes\idea_workspace\demo\src\main\java\cn\edu\seu\demo\mapper\MySystemMapper.java                                 | Java               |         12 |          0 |          5 |         17 |
| e:\codes\idea_workspace\demo\src\main\java\cn\edu\seu\demo\mapper\UserMapper\LoginMapper.java                         | Java               |         13 |          0 |          6 |         19 |
| e:\codes\idea_workspace\demo\src\main\java\cn\edu\seu\demo\mapper\UserMapper\UserNewsRecommendMapper.java             | Java               |         20 |         53 |         17 |         90 |
| e:\codes\idea_workspace\demo\src\main\java\cn\edu\seu\demo\mapper\UserMapper\UserNewsSummarizeMapper.java             | Java               |         23 |          0 |          8 |         31 |
| e:\codes\idea_workspace\demo\src\main\java\cn\edu\seu\demo\pojo\Admin.java                                            | Java               |         12 |          0 |          3 |         15 |
| e:\codes\idea_workspace\demo\src\main\java\cn\edu\seu\demo\pojo\Classify.java                                         | Java               |         12 |          0 |          4 |         16 |
| e:\codes\idea_workspace\demo\src\main\java\cn\edu\seu\demo\pojo\History.java                                          | Java               |         14 |          0 |          4 |         18 |
| e:\codes\idea_workspace\demo\src\main\java\cn\edu\seu\demo\pojo\HistoryText.java                                      | Java               |         15 |          0 |          4 |         19 |
| e:\codes\idea_workspace\demo\src\main\java\cn\edu\seu\demo\pojo\News.java                                             | Java               |         16 |          2 |          4 |         22 |
| e:\codes\idea_workspace\demo\src\main\java\cn\edu\seu\demo\pojo\NoContentNews.java                                    | Java               |         31 |          0 |          5 |         36 |
| e:\codes\idea_workspace\demo\src\main\java\cn\edu\seu\demo\pojo\PageBean.java                                         | Java               |         12 |          1 |          5 |         18 |
| e:\codes\idea_workspace\demo\src\main\java\cn\edu\seu\demo\pojo\RawNews.java                                          | Java               |         10 |          0 |          4 |         14 |
| e:\codes\idea_workspace\demo\src\main\java\cn\edu\seu\demo\pojo\Result.java                                           | Java               |         21 |          3 |          4 |         28 |
| e:\codes\idea_workspace\demo\src\main\java\cn\edu\seu\demo\pojo\Source.java                                           | Java               |         11 |          0 |          3 |         14 |
| e:\codes\idea_workspace\demo\src\main\java\cn\edu\seu\demo\pojo\User.java                                             | Java               |         13 |          0 |          3 |         16 |
| e:\codes\idea_workspace\demo\src\main\java\cn\edu\seu\demo\service\AdminService\AdminDataService.java                 | Java               |         11 |          0 |          8 |         19 |
| e:\codes\idea_workspace\demo\src\main\java\cn\edu\seu\demo\service\AdminService\AdminService.java                     | Java               |         12 |          0 |          8 |         20 |
| e:\codes\idea_workspace\demo\src\main\java\cn\edu\seu\demo\service\AdminService\Impl\AdminDataServiceImpl.java        | Java               |         66 |          1 |         10 |         77 |
| e:\codes\idea_workspace\demo\src\main\java\cn\edu\seu\demo\service\AdminService\Impl\AdminLoginServiceImpl.java       | Java               |         17 |          0 |          4 |         21 |
| e:\codes\idea_workspace\demo\src\main\java\cn\edu\seu\demo\service\AdminService\Impl\AdminServiceImpl.java            | Java               |         46 |          9 |          8 |         63 |
| e:\codes\idea_workspace\demo\src\main\java\cn\edu\seu\demo\service\AdminService\LoginService.java                     | Java               |          5 |          0 |          4 |          9 |
| e:\codes\idea_workspace\demo\src\main\java\cn\edu\seu\demo\service\UserService\LoginService.java                      | Java               |          7 |          0 |          6 |         13 |
| e:\codes\idea_workspace\demo\src\main\java\cn\edu\seu\demo\service\UserService\UserNewsRecommendService.java          | Java               |         10 |          2 |         10 |         22 |
| e:\codes\idea_workspace\demo\src\main\java\cn\edu\seu\demo\service\UserService\UserNewsSummarizeService.java          | Java               |         15 |          0 |          9 |         24 |
| e:\codes\idea_workspace\demo\src\main\java\cn\edu\seu\demo\service\UserService\impl\LoginServiceImpl.java             | Java               |         25 |          0 |          5 |         30 |
| e:\codes\idea_workspace\demo\src\main\java\cn\edu\seu\demo\service\UserService\impl\UserNewsRecommendServiceImpl.java | Java               |         95 |         72 |         27 |        194 |
| e:\codes\idea_workspace\demo\src\main\java\cn\edu\seu\demo\service\UserService\impl\UserNewsSummarizeServiceImpl.java | Java               |         72 |          6 |         10 |         88 |
| e:\codes\idea_workspace\demo\src\main\java\cn\edu\seu\demo\utils\ChatClient.java                                      | Java               |         95 |         22 |         28 |        145 |
| e:\codes\idea_workspace\demo\src\main\java\cn\edu\seu\demo\utils\CmdExecutor.java                                     | Java               |         41 |          6 |         13 |         60 |
| e:\codes\idea_workspace\demo\src\main\java\cn\edu\seu\demo\utils\JwtUtils.java                                        | Java               |         23 |         22 |         11 |         56 |
| e:\codes\idea_workspace\demo\src\main\java\cn\edu\seu\demo\utils\Model_eval.java                                      | Java               |          6 |         30 |          4 |         40 |
| e:\codes\idea_workspace\demo\src\main\java\cn\edu\seu\demo\utils\MySystem.java                                        | Java               |         53 |          9 |         13 |         75 |
| e:\codes\idea_workspace\demo\src\main\java\cn\edu\seu\demo\utils\SHA256Hashing.java                                   | Java               |         29 |          5 |          6 |         40 |
| e:\codes\idea_workspace\demo\src\main\java\cn\edu\seu\demo\utils\SmsSend.java                                         | Java               |         24 |         13 |          8 |         45 |
| e:\codes\idea_workspace\demo\src\main\resources\application.yml                                                       | YAML               |         16 |         19 |          4 |         39 |
| e:\codes\idea_workspace\demo\src\main\resources\cn\edu\seu\demo\mapper\MySystemMapper.xml                             | XML                |          6 |          7 |          0 |         13 |
| e:\codes\idea_workspace\demo\src\main\resources\cn\edu\seu\demo\mapper\adminmapper\AdminDataMapper.xml                | XML                |          6 |          9 |          1 |         16 |
| e:\codes\idea_workspace\demo\src\main\resources\cn\edu\seu\demo\mapper\adminmapper\AdminMapper.xml                    | XML                |          6 |          0 |          2 |          8 |
| e:\codes\idea_workspace\demo\src\main\resources\cn\edu\seu\demo\mapper\usermapper\UserNewsRecommendMapper.xml         | XML                |         35 |         16 |          1 |         52 |
| e:\codes\idea_workspace\demo\src\main\resources\config\config.json                                                    | JSON with Comments |         14 |          0 |          0 |         14 |
| e:\codes\idea_workspace\demo\src\main\resources\static\index.html                                                     | HTML               |          6 |          0 |          0 |          6 |
| e:\codes\idea_workspace\demo\src\test\java\cn\edu\seu\demo\DemoApplicationTests.java                                  | Java               |         66 |         24 |         12 |        102 |
| Total                                                                                                                 |                    |      1,832 |        489 |        442 |      2,763 |
+-----------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
